Indicadores de producto PATR;Indicadores de producto Plan indicativo
Personas de la comunidad LGBTIQ atendidos;#N/D
Personas mayores con algún tipo de protección económica en la vejez;#N/D
Personas que acceden a programas e iniciativas culturales, artísticas y de saberes para la construcción de la paz total;#N/D
Personas, con especial énfasis en los grupos poblacionales de campesinos, mujeres, minorías religiosas, pueblos y comunidades étnicas y población LGBTI, que participan anualmente en el proceso de fortalecimiento  del programa de liderazgo político y social para miembros de partidos y de organizaciones sociales;#¡VALOR!
Pilotos con acciones de mitigación y adaptación al cambio climático desarrollados;Pilotos con acciones de mitigación y adaptación al cambio climático desarrollados
Plan de acciones afirmativas teniendo en cuenta las condiciones socioeconómicas de las mujeres Rrom con un enfoque de género formulado;#N/D
Planes de cuencas;#N/D
Planes de reparación colectiva en implementación (mayor al 50 %);#N/D
Planes de reparación colectiva formulados y concertados con los sujetos;#N/D
Porcentaje de avance de infraestructuras físicas propias para el desarrollo de las prácticas ancestrales y deportes en los territorios indígenas en adecuación, mejoramiento y/o en construcción;#N/D
Porcentaje de avance del Plan Nacional indígena para el reconocimiento, fortalecimiento y protección jurídica de los saberes ancestrales y Sistemas de Conocimientos Propios Indígenas asociados a la biodiversidad;#N/D
Porcentaje de avance en el diagnóstico y fortalecimiento de los Sistemas de Información Territorial propios de las organizaciones nacionales, regionales y locales de los pueblos indígenas;#N/D
Porcentaje de avance en el diseño e implementación de un plan especial de fortalecimiento técnico, tecnológico, operativo y de talento humano de los sistemas de información propios de las comunidades negras, afrocolombianas, raizales y palenqueras;#N/D
Porcentaje de avance en la construcción e implementación concertada de los lineamientos y herramientas para la atención, prevención y solución de conflictos territoriales, socioambientales interétnicas, intraétnicos e interculturales;#N/D
Porcentaje de avance en la creación e implementación del sistema propio de información de territorios de pueblos indígenas y territorios de comunidades negras, afrocolombianas, raizales y palenqueras;#N/D
Porcentaje de avance en la implementación, producción y operación del Sistema de Información Geográfica SIG-Indígena;#N/D
Porcentaje de centros de salud construidos o mejorados en territorios definidos en el respectivo plan;#N/D
Porcentaje de espacios o escenarios culturales indígenas construidos o adecuados o dotados;#N/D
Porcentaje de familias vinculadas al PNIS con la totalidad de los componentes del plan de atención inmediata familiar implementados;#N/D
Porcentaje de familias vinculadas al PNIS con servicio de apoyo financiero para  proyectos productivos de ciclo largo viabilizados y con acuerdo cumplido de sustitución y no resiembra;#N/D
